1862	1	8.07701	27804.5	4228	1947	4232	1948	7125	6	11362	1953
1863	1	7.8704	27613.7	7978	2789	7998	2790	12851	9	20861	2798
1864	1	7.20308	23254.5	5189	6205	5193	6206	7208	24	12419	6229
1865	1	6.50329	19623.3	7601	3325	7605	3326	8824	13	16436	3338
1866	1	4.35021	11969.2	9936	3214	9946	3214	4444	13	14386	3227
1867	1	4.88234	12697.2	1812	3391	1813	3391	1123	9	2938	3400
1868	1	4.57427	11061.6	8152	5245	8158	5247	4232	17	12392	5263
1869	1	4.83455	12996.3	9429	1964	9434	1964	5714	11	15153	1975
1870	1	4.64213	11244	4087	2113	4093	2115	2148	13	6241	2125
1872	1	4.92434	13347.6	13796	3815	13810	3816	8787	11	22600	3826
1873	1	4.33265	11741.6	6569	672	6571	672	2883	3	9454	675
1874	1	6.31125	18992.3	5966	1879	5971	1879	6538	10	12517	1889
1875	1	6.67078	19615.3	5354	3025	5357	3026	6150	19	11512	3044
1876	1	7.86113	27121.8	8010	3483	8023	3483	12896	14	20937	3497
1877	1	11.2579	31708.9	1195	182	1197	182	2208	0	3406	182
1878	1	8.23678	28502.9	6360	5758	6371	5758	10677	17	17066	5775
1925	1	7.50265	27356.3	10224	2125	10251	2125	15233	6	25489	2131
1926	1	5.58734	20365.3	7432	3722	7437	3723	6341	10	13783	3732
1927	1	5.3552	18837.5	10385	3594	10398	3594	8071	13	18473	3607
1928	1	5.19584	17546.9	6881	3798	6884	3799	4977	8	11866	3806
1929	1	4.24813	12374.2	8072	330	8078	330	3340	2	11414	332
1930	1	5.64584	18629.4	9051	1519	9057	1520	7118	6	16183	1525
1931	1	5.20353	16861	1926	2192	1928	2193	1375	8	3304	2200
1932	1	4.29464	12302.4	5497	568	5503	568	2346	1	7848	569
1934	1	7.51261	27432.5	2688	2819	2694	2819	3939	7	6634	2826
1935	1	7.08129	26244.3	11112	2546	11130	2546	14994	15	26141	2561
1936	1	7.33881	27636.6	19139	5190	19169	5190	27551	8	46748	5198
1937	1	4.20612	12097.2	6937	1651	6938	1652	2766	3	9704	1654
1938	1	5.01628	16030.2	8347	2656	8352	2656	5566	9	13922	2665
1939	1	5.08973	16660.4	8342	2587	8349	2587	5766	5	14122	2592
1940	1	5.22639	17662.5	8058	2324	8061	2325	5906	10	13972	2334
1941	1	4.29177	12348.6	2873	56	2873	56	1212	0	4086	56
1943	1	16.9988	71378	14713	7506	14755	7509	67931	36	82866	7542
1944	1	16.773	71456	10683	1640	10717	1641	48953	7	59807	1649
1945	1	15.6794	66013.7	8341	2581	8370	2581	35161	19	43610	2600
1947	1	5.53198	24103	893	1882	893	1882	748	9	1642	1891
1948	1	5.50798	24799.6	8081	2704	8089	2704	6661	8	14756	2712
1949	1	5.54775	25401.1	12893	913	12905	913	10893	6	23809	920
1951	1	9.89958	35597	8625	2859	8642	2859	19756	13	28440	2872
1952	1	9.44475	33155.1	8872	1669	8884	1669	18888	11	27798	1680
1953	1	9.69786	34694.4	9083	1370	9098	1371	20123	2	29251	1372
1954	1	9.59045	33898.1	8813	2020	8824	2020	19235	6	28092	2026
1955	1	9.18795	32326.5	9203	1447	9226	1447	18931	14	28182	1461
1956	1	7.85073	25088.3	3363	2983	3369	2984	5361	8	8748	2992
1957	1	8.62394	29387.1	8408	1225	8421	1226	15649	4	24088	1229
1958	1	8.53126	28720.1	9648	698	9657	698	17698	10	27394	708
1959	1	8.46058	28660.1	4512	510	4518	510	8171	1	12699	511
1960	1	8.33296	27917.8	7045	3458	7054	3458	12410	17	19474	3475
1961	1	8.03382	26231.9	2668	2906	2672	2906	4329	10	7012	2916
1963	1	10.8336	41603.3	7397	6153	7416	6155	19183	15	26636	6169
1967	1	15.7256	70080.9	9548	2700	9577	2701	40212	6	49888	2706
1968	1	15.005	66938.1	5129	3109	5143	3110	20433	14	25626	3123
1969	1	11.6961	47690.4	2009	4012	2016	4013	5795	10	7825	4022
1972	1	14.603	64030.4	8331	2643	8364	2643	32196	9	40622	2652
